id	pair	colony	nestid	task	rickia	lvl_inf	age	switch	plate	po	ppo	head_len	head_wid
10A.10.F	26	10	1	forager	1	13.7	32	29	2	0.0005168885432	0.001326359294	1093.62	952.16
10A.12.N	26	10	1	intranidal	1	13.7	32		2	0.0001364570194	0.0008866272522	1070.13	913.03
10A.8.F	37	10	1	forager	1	13.7	36	25	3	0.00008324721669	0.000425050945	1031.9	883.7
10A.13.N	37	10	1	intranidal	1	13.7	36		3	0.00006688307893	0.0008017769639	1077.15	937.76
10A.11.F	59	10	1	forager	1	13.7	44	42	5	5.25E-05	0.000743712095	1002.39	859.3
10A.9.N	59	10	1	intranidal	1	13.7	44		5	0.00003654506874	0.0006922731759	1044.7	913.04
10B.5.F	16	10	2	forager	1	13.7	23	18	3	1.46E-05	0.0004765710265	1012.77	846.17
10B.3.N	16	10	2	intranidal	1	13.7	23		3	NA	0.0002694310485	971.38	830.89
13A.2.F	64	13	1	forager	0	0	41	10	3	0.0001319031295	0.001794949538	1084.26	982.16
13A.4.N	64	13	1	intranidal	0	0	37		3	0.0003001619039	0.002097374546	1155.63	1033.35
14A.21.F	32	14	1	forager	0	0	25	19	4	0.0000762840135	0.0001071140696	995.38	848.55
14A.20.N	32	14	1	intranidal	0	0	25		4	0.0001705513549	0.0001864524687	1036.42	938.66
14A.19.F	92	14	1	forager	0	0	46	41	5	4.89E-05	0.00130808226	1111.68	992.17
14A.3.N	92	14	1	intranidal	0	0	53		5	0.0001343085023	0.001784399728	1088.51	953.26
14A.23.F	93	14	1	forager	0	0	46	40	5	0.0002522125547	0.003145002949	1044.48	923.83
14A.12.N	93	14	1	intranidal	0	0	48		5	5.70E-05	0.002494032218	1041.26	892.92
14B.3.F	33	14	2	forager	0	0	25	22	4	0.0005591803381	0.0006257965009	958.51	794.96
14B.5.N	33	14	2	intranidal	0	0	25		4	0.0002174904486	0.0004643946032	1031.94	902.29
14B.22.F	49	14	2	forager	0	0	23	10	3	0.000006519185484	NA	1029.06	854.72
14B.20.N	49	14	2	intranidal	0	0	23		3	NA	0.00003360494839	915.45	816.1
14B.15.N	53	14	2	intranidal	0	0	24		2	NA	0.0007712594511	1048.33	924.54
14B.17.F	60	14	2	forager	0	0	26	11	5	0.00009380440571	NA	1020.08	887.5
14B.23.N	60	14	2	intranidal	0	0	26		5	5.42E-05	0.0007947096614	948.24	820.63
14B.24.F	62	14	2	forager	0	0	26	11	1	0.00008174525462	NA	911.54	764.09
14B.18.N	62	14	2	intranidal	0	0	26		1	0.0006869265151	6.85E-04	958.14	833.07
14B.13.F	75	14	2	forager	0	0	35	24	4	6.94E-05	NA	906.94	795.44
14B.10.F	76	14	2	forager	0	0	36	31	5	0.000150817361	0.002251732467	1041.49	926.88
14B.11.F	77	14	2	forager	0	0	36	29	5	0.000746322127	0.000324782341	1053.69	946.74
