mother,nest,nested,task,rickia,lvl_inf,age,switch,status
1,1A,1,forager,0,0,14,11,1
1,1C,3,forager,0,0,13,10,1
1,1C,3,forager,0,0,31,24,1
1,1A,1,forager,0,0,36,27,1
1,1D,4,forager,0,0,42,29,1
1,1B,2,forager,0,0,48,30,1
1,1A,1,forager,0,0,56,31,1
1,1C,3,forager,0,0,58,49,1
2,2A,1,forager,1,97.6,13,10,1
2,2A,1,forager,1,97.6,34,22,1
2,2A,1,forager,1,97.6,35,10,1
2,2A,1,forager,1,97.6,35,27,1
2,2A,1,forager,1,97.6,38,20,1
2,2A,1,forager,1,97.6,48,14,1
2,2A,1,forager,1,97.6,48,28,1
2,2A,1,forager,1,97.6,60,30,1
3,3A,1,forager,0,0,8,7,1
3,3A,1,forager,0,0,33,14,1
3,3A,1,forager,0,0,37,28,1
4,4A,1,forager,1,14.7,28,22,1
4,4B,2,forager,1,14.7,25,23,1
4,4A,1,forager,1,14.7,39,36,1
4,4B,2,forager,1,14.7,46,36,1
4,4B,2,forager,1,14.7,56,43,1
4,4B,2,forager,1,14.7,57,36,1
4,4B,2,forager,1,14.7,63,9,1
4,4B,2,forager,1,14.7,64,37,1
4,4A,1,forager,1,14.7,70,64,1
5,5A,1,forager,1,7.6,14,12,1
5,5A,1,forager,1,7.6,38,12,1
6,6A,1,forager,1,6.5,42,39,1
6,6A,1,forager,1,6.5,39,35,1
6,6A,1,forager,1,6.5,42,39,1
6,6A,1,forager,1,6.5,49,42,1
6,6A,1,forager,1,6.5,51,47,1
9,9B,2,forager,0,0,20,13,1
9,9C,3,forager,0,0,20,19,1
9,9B,2,forager,0,0,22,15,1
9,9D,4,forager,0,0,23,13,1
9,9D,4,forager,0,0,30,17,1
9,9D,4,forager,0,0,36,24,1
9,9D,4,forager,0,0,37,26,1
9,9A,1,forager,0,0,43,40,1
9,9D,4,forager,0,0,44,30,1
9,9B,2,forager,0,0,45,40,1
9,9B,2,forager,0,0,48,37,1
9,9B,2,forager,0,0,50,39,1
9,9B,2,forager,0,0,50,19,1
9,9C,3,forager,0,0,52,47,1
9,9D,4,forager,0,0,54,34,1
9,9D,4,forager,0,0,54,51,1
9,9D,4,forager,0,0,58,54,1
9,9A,1,forager,0,0,62,30,1
